epoch,train_loss,train_adv_acc,val_clean_acc,val_adv_acc
1,1.1611,58.58,71.78,26.76
2,1.0756,61.59,74.66,29.76
3,1.0427,62.99,78.22,34.42
4,1.0223,63.48,76.76,31.60
5,1.0031,64.33,79.02,34.84
6,0.9858,64.96,79.72,35.88
7,0.9712,65.20,79.12,34.24
8,0.9553,66.00,80.18,35.34
9,0.9440,66.37,78.64,36.76
10,0.9214,67.15,79.00,32.76
11,0.9057,67.52,80.40,35.88
12,0.8862,68.35,81.70,36.00
13,0.8633,69.21,80.06,37.24
14,0.8379,70.00,83.42,36.46
15,0.8156,70.67,81.76,37.40
16,0.7898,71.50,83.48,38.34
17,0.7607,72.52,83.68,37.42
18,0.7250,73.71,83.32,38.96
19,0.6951,74.72,84.94,39.06
20,0.6571,76.03,85.00,40.22
21,0.6178,77.44,86.30,39.00
22,0.5773,78.75,86.04,40.08
23,0.5318,80.26,86.16,41.48
24,0.4872,81.92,86.74,41.40
25,0.4381,83.49,86.96,42.26
26,0.4023,84.87,87.06,41.32
27,0.3641,86.26,87.30,41.62
28,0.3372,87.35,87.40,42.14
29,0.3163,88.17,87.72,41.72
30,0.3075,88.46,87.64,42.16
