epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.007080798149109,28.6025,1.5826487663269042,41.56,0.1
2,1.4925226037979127,44.975,1.278041665840149,53.44,0.09972609476841367
3,1.2452632452011108,54.75,1.307162241744995,54.16,0.09890738003669028
4,1.008287440109253,63.9775,1.1002495380401611,61.18,0.09755282581475767
5,0.8529078470230103,70.025,0.9766885179519653,66.88,0.09567727288213003
6,0.7346284659385681,74.3825,0.7894738279581069,72.74,0.09330127018922194
7,0.6490844864845275,77.56,0.7211643729686738,75.84,0.09045084971874737
8,0.5857624635696411,79.695,0.6137694868564606,79.24,0.0871572412738697
9,0.5369324853897095,81.57,0.6306875207901,78.16,0.0834565303179429
10,0.5051820252418519,82.6,0.618415331864357,78.78,0.07938926261462365
11,0.4772480844497681,83.3725,0.6857054626464844,77.8,0.07499999999999998
12,0.4466531078338623,84.605,0.566576292514801,81.44,0.07033683215379001
13,0.40828589854240416,85.99,0.47426385481357575,83.8,0.06545084971874737
14,0.38273286662101746,86.795,0.4519195326566696,84.16,0.06039558454088796
15,0.3542056350231171,87.865,0.4370236611366272,85.64,0.05522642316338268
16,0.3269464866161346,88.7375,0.4871264490365982,83.98,0.05000000000000001
17,0.308793096780777,89.1825,0.4229525423049927,86.26,0.04477357683661733
18,0.27520493042469024,90.695,0.4161465571403503,86.46,0.03960441545911203
19,0.2463525787115097,91.5325,0.4247861757278442,86.62,0.03454915028125263
20,0.2222159776687622,92.3475,0.3142326316833496,89.94,0.02966316784621
21,0.1902504744052887,93.4425,0.3258373936533928,89.44,0.025000000000000012
22,0.1660410234451294,94.1875,0.3268677348613739,89.56,0.02061073738537635
23,0.13623806891441345,95.3,0.3265624492645264,89.44,0.016543469682057107
24,0.10419530481696129,96.4475,0.28309519522190096,91.24,0.012842758726130301
25,0.08236217758059501,97.2875,0.29506866809129717,91.3,0.009549150281252635
26,0.06353610164821148,97.9625,0.25448986706733706,92.16,0.006698729810778067
27,0.04839172279536724,98.5075,0.25310398935973644,92.74,0.004322727117869953
28,0.03976773373186588,98.77,0.24605594346523285,92.46,0.002447174185242324
29,0.033970353731513026,99.05,0.25037558243870733,92.92,0.0010926199633097158
30,0.029611037224531175,99.2225,0.2473002666771412,92.88,0.00027390523158633
